collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768905000,37.3958221333,-122.1029280317,58.96,104.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768906000,37.3958221333,-122.1029280283,58.96,105.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768907000,37.3958221350,-122.1029280233,58.96,106.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768908000,37.3958221350,-122.1029280200,58.96,107.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768909000,37.3958221350,-122.1029280167,58.96,108.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768910000,37.3958221367,-122.1029280133,58.96,109.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768911000,37.3958221367,-122.1029280100,58.96,110.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768912000,37.3958221383,-122.1029280067,58.96,111.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768913000,37.3958221383,-122.1029280017,58.96,112.00,1.90,0.00,0.00,118.30
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768914000,37.3958221383,-122.1029279983,58.96,113.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768915000,37.3958221400,-122.1029279950,58.96,114.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768916000,37.3958221400,-122.1029279917,58.96,115.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768917000,37.3958221400,-122.1029279883,58.96,116.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768918000,37.3958221417,-122.1029279833,58.96,117.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768919000,37.3958221417,-122.1029279800,58.96,118.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768920000,37.3958221433,-122.1029279767,58.96,119.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768921000,37.3958221433,-122.1029279733,58.96,120.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768922000,37.3958221433,-122.1029279683,58.96,121.00,1.90,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768923000,37.3958221450,-122.1029279650,58.96,122.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768924000,37.3958221450,-122.1029279617,58.96,123.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768925000,37.3958221467,-122.1029279583,58.96,124.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768926000,37.3958221467,-122.1029279533,58.96,125.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768927000,37.3958221467,-122.1029279500,58.96,126.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768928000,37.3958221483,-122.1029279467,58.96,127.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768929000,37.3958221483,-122.1029279417,58.96,128.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768930000,37.3958221500,-122.1029279383,58.96,129.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768931000,37.3958221500,-122.1029279333,58.96,130.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768932000,37.3958221500,-122.1029279300,58.96,131.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768933000,37.3958221517,-122.1029279267,58.96,132.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768934000,37.3958221517,-122.1029279217,58.96,133.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768935000,37.3958221517,-122.1029279183,58.96,134.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768936000,37.3958221533,-122.1029279133,58.96,135.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768937000,37.3958221533,-122.1029279100,58.96,136.00,1.20,0.00,0.00,118.20
2021-04-29-US-MTV-1,SamsungS20Ultra,1303768938000,37.3958221550,-122.1029279050,58.96,137.00,1.20,0.00,0.00,118.20
